t,v_closed,a_cmd_closed,throttle_closed,brake_closed,v_open
12.3,8.99871500924,0.00141348983677,0.631253044887,0,7.9100071533
12.35,8.99875344946,0.00137120559582,0.631250502326,0,7.9100071533
12.4,8.99879070578,0.0013302236393,0.631248044059,0,7.9100071533
12.45,8.99882681661,0.00129050172838,0.631245667021,0,7.9100071533
12.5,8.99886181899,0.00125199911225,0.631243368271,0,7.9100071533
12.55,8.99889574866,0.00121467646949,0.631241144988,0,7.9100071533
12.6,8.99892864013,0.00117849585202,0.631238994466,0,7.9100071533
12.65,8.9989605267,0.00114342063163,0.631236914109,0,7.9100071533
12.7,8.9989914405,0.00110941544872,0.631234901421,0,7.9100071533
12.75,8.99902141258,0.00107644616344,0.631232954009,0,7.9100071533
12.8,8.9990504729,0.00104447980885,0.631231069574,0,7.9100071533
12.85,8.99907865041,0.00101348454616,0.631229245907,0,7.9100071533
12.9,8.99910597307,0.000983429621859,0.631227480886,0,7.9100071533
12.95,8.99913246788,0.000954285326778,0.631225772471,0,7.9100071533
13,8.99915816095,0.000926022956779,0.631224118701,0,7.9100071533
13.05,8.99918307748,0.000898614775193,0.631222517692,0,7.9100071533
13.1,8.99920724184,0.000872033976816,0.631220967632,0,7.9100071533
13.15,8.99923067759,0.000846254653418,0.631219466777,0,7.9100071533
13.2,8.99925340749,0.000821251760697,0.63121801345,0,7.9100071533
13.25,8.99927545356,0.0007970010866,0.631216606037,0,7.9100071533
13.3,8.99929683707,0.000773479220954,0.631215242986,0,7.9100071533
13.35,8.99931757861,0.000750663526348,0.6312139228,0,7.9100071533
13.4,8.99933769808,0.000728532110201,0.631212644041,0,7.9100071533
13.45,8.99935721473,0.000707063797961,0.631211405322,0,7.9100071533
13.5,8.99937614718,0.000686238107397,0.631210205309,0,7.9100071533
13.55,8.99939451343,0.000666035223915,0.631209042714,0,7.9100071533
13.6,8.99941233093,0.000646435976864,0.6312079163,0,7.9100071533
13.65,8.99942961653,0.000627421816785,0.631206824872,0,7.9100071533
13.7,8.99944638655,0.000608974793562,0.631205767279,0,7.9100071533
13.75,8.99946265679,0.00059107753542,0.63120474241,0,7.9100071533
13.8,8.99947844252,0.000573713228763,0.631203749197,0,7.9100071533
13.85,8.99949375855,0.000556865598784,0.631202786608,0,7.9100071533
13.9,8.99950861919,0.000540518890825,0.631201853647,0,7.9100071533
13.95,8.99952303832,0.000524657852465,0.631200949354,0,7.9100071533
14,8.99953702935,0.000509267716284,0.631200072804,0,7.9100071533
14.05,8.99955060529,0.000494334183288,0.631199223102,0,7.9100071533
14.1,8.99956377872,0.00047984340696,0.631198399385,0,7.9100071533
14.15,8.99957656184,0.000465781977917,0.631197600822,0,7.9100071533
14.2,8.99958896645,0.00045213690914,0.631196826608,0,7.9100071533
14.25,8.99960100398,0.000438895621753,0.631196075966,0,7.9100071533
14.3,8.99961268552,0.000426045931337,0.631195348149,0,7.9100071533
14.35,8.99962402179,0.000413576034738,0.631194642431,0,7.9100071533
